,,,,,
OCCUPATION,"ENTRY-LEVEL
EDUCATION","ON-THE-JOB
TRAINING","PROJECTED NUMBER
OF NEW JOBS","PROJECTED
GROWTH RATE",2021 MEDIAN PAY
"* Title examiners, abstractors, and searchers*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"* Legal support workers, all other*",Associate’s degree,None,Declining,Little or no change,"$40,000 to $59,999"
* Civil engineering technologists and technicians*,Associate’s degree,None,Declining,Little or no change,"$40,000 to $59,999"
* Electrical and electronic engineering technologists and technicians*,Associate’s degree,None,Declining,Little or no change,"$60,000 to $79,999"
* Electro-mechanical and mechatronics technologists and technicians*,Associate’s degree,None,Declining,Decline,"$60,000 to $79,999"
* Environmental engineering technologists and technicians*,Associate’s degree,None,0 to 999,As fast as average,"$40,000 to $59,999"
* Industrial engineering technologists and technicians*,Associate’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Mechanical engineering technologists and technicians*,Associate’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Calibration technologists and technicians*,Associate’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
"* Engineering technologists and technicians, except drafters, all other*",Associate’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Surveying and mapping technicians*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Animal scientists*,Bachelor’s degree,None,0 to 999,Much faster than average,"$60,000 to $79,999"
* Food scientists and technologists*,Bachelor’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
* Soil and plant scientists*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
* Biochemists and biophysicists*,Doctoral or professional degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
* Microbiologists*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
* Zoologists and wildlife biologists*,Bachelor’s degree,None,0 to 999,Little or no change,"$60,000 to $79,999"
"* Biological scientists, all other*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Conservation scientists*,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Foresters*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Epidemiologists*,Master’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
"* Medical scientists, except epidemiologists*",Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
"* Life scientists, all other*",Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Astronomers*,Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
* Physicists*,Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Atmospheric and space scientists*,Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Chemists*,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Materials scientists*,Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
"* Environmental scientists and specialists, including health*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Geoscientists, except hydrologists and geographers*",Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Hydrologists*,Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
"* Physical scientists, all other*",Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Economists*,Master’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Survey researchers*,Master’s degree,None,0 to 999,As fast as average,"$40,000 to $59,999"
* Chief executives*,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
* General and operations managers*,Bachelor’s degree,None,"50,000 or more",As fast as average,"$80,000 or more"
* Legislators*,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Advertising and promotions managers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Marketing managers*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
* Sales managers*,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
* Public relations managers*,Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
* Fundraising managers*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Administrative services managers*,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
* Facilities managers*,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
* Computer and information systems managers*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Financial managers*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Industrial production managers*,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$80,000 or more"
* Purchasing managers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"* Transportation, storage, and distribution managers*",High school diploma or equivalent,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
* Compensation and benefits managers*,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
* Human resources managers*,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
* Training and development managers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"* Farmers, ranchers, and other agricultural managers*",High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
* Construction managers*,Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$80,000 or more"
"* Education and childcare administrators, preschool and daycare*",Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
"* Education administrators, kindergarten through secondary*",Master’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"* Education administrators, postsecondary*",Master’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"* Education administrators, all other*",Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
* Architectural and engineering managers*,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
* Food service managers*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
* Gambling managers*,High school diploma or equivalent,None,0 to 999,Much faster than average,"$60,000 to $79,999"
"* Entertainment and recreation managers, except gambling*",Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
* Lodging managers*,High school diploma or equivalent,None,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
* Medical and health services managers*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Natural sciences managers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Postmasters and mail superintendents*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
"* Property, real estate, and community association managers*",High school diploma or equivalent,None,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
* Social and community service managers*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Emergency management directors*,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Funeral home managers*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Personal service managers, all other*",High school diploma or equivalent,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
"* Managers, all other*",Bachelor’s degree,None,"50,000 or more",As fast as average,"$80,000 or more"
"* Agents and business managers of artists, performers, and athletes*",Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
* Buyers and purchasing agents*,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
"* Claims adjusters, examiners, and investigators*",High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
"* Insurance appraisers, auto damage*",Postsecondary nondegree award,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
* Compliance officers*,Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
* Cost estimators*,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
* Human resources specialists*,Bachelor’s degree,None,"50,000 or more",Faster than average,"$60,000 to $79,999"
* Farm labor contractors*,No formal educational credential,Short-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
* Labor relations specialists*,Bachelor’s degree,None,Declining,Decline,"$60,000 to $79,999"
* Logisticians*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$60,000 to $79,999"
* Project management specialists*,Bachelor’s degree,None,"50,000 or more",As fast as average,"$80,000 or more"
* Management analysts*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
"* Meeting, convention, and event planners*",Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Fundraisers*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"* Compensation, benefits, and job analysis specialists*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Training and development specialists*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
* Market research analysts and marketing specialists*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$60,000 to $79,999"
"* Business operations specialists, all other*",Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
* Accountants and auditors*,Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
* Property appraisers and assessors*,Bachelor’s degree,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Budget analysts*,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Credit analysts*,Bachelor’s degree,None,Declining,Decline,"$60,000 to $79,999"
* Financial and investment analysts*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
* Personal financial advisors*,Bachelor’s degree,Long-term on-the-job training,"50,000 or more",Much faster than average,"$80,000 or more"
* Insurance underwriters*,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
* Financial risk specialists*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Financial examiners*,Bachelor’s degree,Long-term on-the-job training,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Credit counselors*,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Loan officers*,Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Tax examiners and collectors, and revenue agents*",Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Tax preparers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Financial specialists, all other*",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Computer systems analysts*,Bachelor’s degree,None,"50,000 or more",Faster than average,"$80,000 or more"
* Information security analysts*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Computer and information research scientists*,Master’s degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
* Computer network support specialists*,Associate’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
* Computer user support specialists*,"Some college, no degree",Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Computer network architects*,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
* Database administrators*,Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
* Database architects*,Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
* Network and computer systems administrators*,Bachelor’s degree,None,"10,000 to 49,999",Slower than average,"$80,000 or more"
* Computer programmers*,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
* Software developers*,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$80,000 or more"
* Software quality assurance analysts and testers*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Web developers*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Web and digital interface designers*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"* Computer occupations, all other*",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
* Actuaries*,Bachelor’s degree,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$80,000 or more"
* Mathematicians*,Master’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Operations research analysts*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Statisticians*,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Data scientists*,Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
"* Mathematical science occupations, all other*",Bachelor’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
"* Architects, except landscape and naval*",Bachelor’s degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
* Landscape architects*,Bachelor’s degree,Internship/residency,0 to 999,Little or no change,"$60,000 to $79,999"
* Cartographers and photogrammetrists*,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Surveyors*,Bachelor’s degree,Internship/residency,0 to 999,Little or no change,"$60,000 to $79,999"
* Aerospace engineers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Agricultural engineers*,Bachelor’s degree,None,0 to 999,Little or no change,"$80,000 or more"
* Bioengineers and biomedical engineers*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Chemical engineers*,Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$80,000 or more"
* Civil engineers*,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
* First-line supervisors of gambling services workers*,High school diploma or equivalent,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* First-line supervisors of entertainment and recreation workers, except 
gambling services*",High school diploma or equivalent,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* First-line supervisors of personal service workers*,High school diploma or equivalent,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Animal trainers*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
* Animal caretakers*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
* Gambling dealers*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Gambling and sports book writers and runners*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"Less than $30,000"
"* Gambling service workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
* Motion picture projectionists*,No formal educational credential,Short-term on-the-job training,0 to 999,Much faster than average,"Less than $30,000"
"* Ushers, lobby attendants, and ticket takers*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Amusement and recreation attendants*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Costume attendants*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
"* Locker room, coatroom, and dressing room attendants*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
"* Entertainment attendants and related workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
* Embalmers*,Associate’s degree,Long-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
* Crematory operators*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Faster than average,"$30,000 to $39,999"
* Funeral attendants*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Faster than average,"Less than $30,000"
"* Morticians, undertakers, and funeral arrangers*",Associate’s degree,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Barbers*,Postsecondary nondegree award,None,"1,000 to 4,999",Faster than average,"Less than $30,000"
"* Hairdressers, hairstylists, and cosmetologists*",Postsecondary nondegree award,None,"50,000 or more",Much faster than average,"Less than $30,000"
"* Makeup artists, theatrical and performance*",Postsecondary nondegree award,None,0 to 999,As fast as average,"$80,000 or more"
* Manicurists and pedicurists*,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Shampooers*,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
* Skincare specialists*,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
* Baggage porters and bellhops*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
* Tour and travel guides*,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"Less than $30,000"
* Childcare workers*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",As fast as average,"Less than $30,000"
* Exercise trainers and group fitness instructors*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"$40,000 to $59,999"
* Recreation workers*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
* Residential advisors*,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
"* Personal care and service workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Concierges*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
* First-line supervisors of retail sales workers*,High school diploma or equivalent,None,Declining,Decline,"$30,000 to $39,999"
* First-line supervisors of non-retail sales workers*,High school diploma or equivalent,None,Declining,Little or no change,"$60,000 to $79,999"
* Cashiers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Gambling change persons and booth cashiers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Counter and rental clerks*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
* Parts salespersons*,No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
* Retail salespersons*,No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
* Advertising sales agents*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Insurance sales agents*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"* Securities, commodities, and financial services sales agents*",Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
* Travel agents*,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
"* Sales representatives of services, except advertising, insurance, 
financial services, and travel*",High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",As fast as average,"$60,000 to $79,999"
"* Sales representatives, wholesale and manufacturing, technical and 
scientific products*",Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$80,000 or more"
"* Sales representatives, wholesale and manufacturing, except technical and 
scientific products*",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
* Demonstrators and product promoters*,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Models*,No formal educational credential,None,0 to 999,Faster than average,The annual wage is not available.
* Real estate brokers*,High school diploma or equivalent,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Real estate sales agents*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Sales engineers*,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Telemarketers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Door-to-door sales workers, news and street vendors, and related workers*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Sales and related workers, all other*",High school diploma or equivalent,None,"5,000 to 9,999",Slower than average,"Less than $30,000"
* Chefs and head cooks*,High school diploma or equivalent,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* First-line supervisors of food preparation and serving workers*,High school diploma or equivalent,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"* Cooks, fast food*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Cooks, institution and cafeteria*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
"* Cooks, private household*",Postsecondary nondegree award,None,Declining,Decline,"$40,000 to $59,999"
"* Cooks, restaurant*",No formal educational credential,Moderate-term on-the-job training,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"* Cooks, short order*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Little or no change,"Less than $30,000"
"* Cooks, all other*",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
* Food preparation workers*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Slower than average,"Less than $30,000"
* Bartenders*,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
* Fast food and counter workers*,No formal educational credential,Short-term on-the-job training,"50,000 or more",Faster than average,"Less than $30,000"
* Waiters and waitresses*,No formal educational credential,Short-term on-the-job training,"50,000 or more",Faster than average,"Less than $30,000"
"* Food servers, nonrestaurant*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
* Dining room and cafeteria attendants and bartender helpers*,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
* Dishwashers*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
"* Hosts and hostesses, restaurant, lounge, and coffee shop*",No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
"* Food preparation and serving related workers, all other*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* First-line supervisors of housekeeping and janitorial workers*,High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"* First-line supervisors of landscaping, lawn service, and groundskeeping 
workers*",High school diploma or equivalent,None,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"* Janitors and cleaners, except maids and housekeeping cleaners*",No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"Less than $30,000"
* Maids and housekeeping cleaners*,No formal educational credential,Short-term on-the-job training,"50,000 or more",Faster than average,"Less than $30,000"
"* Building cleaning workers, all other*",No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
* Pest control workers*,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
* Landscaping and groundskeeping workers*,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
"* Pesticide handlers, sprayers, and applicators, vegetation*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Tree trimmers and pruners*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"* Grounds maintenance workers, all other*",No formal educational credential,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Massage therapists*,Postsecondary nondegree award,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Dental assistants*,Postsecondary nondegree award,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
* Medical assistants*,Postsecondary nondegree award,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
* Medical equipment preparers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Pharmacy aides*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Veterinary assistants and laboratory animal caretakers*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Phlebotomists*,Postsecondary nondegree award,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
"* Healthcare support workers, all other*",High school diploma or equivalent,None,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
* Medical transcriptionists*,Postsecondary nondegree award,None,Declining,Decline,"$30,000 to $39,999"
* First-line supervisors of correctional officers*,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
* First-line supervisors of police and detectives*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$80,000 or more"
* First-line supervisors of firefighting and prevention workers*,Postsecondary nondegree award,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* First-line supervisors of security workers*,High school diploma or equivalent,None,0 to 999,Little or no change,"$40,000 to $59,999"
"* First-line supervisors of protective service workers, all other*",High school diploma or equivalent,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Firefighters*,Postsecondary nondegree award,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Bailiffs*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Correctional officers and jailers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Detectives and criminal investigators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$80,000 or more"
* Fish and game wardens*,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
* Parking enforcement workers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Police and sheriff’s patrol officers*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$60,000 to $79,999"
* Transit and railroad police*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
* Animal control workers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Private detectives and investigators*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Gambling surveillance officers and gambling investigators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Faster than average,"$30,000 to $39,999"
* Security guards*,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Slower than average,"$30,000 to $39,999"
* Crossing guards and flaggers*,No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
* Fire inspectors and investigators*,Postsecondary nondegree award,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
* Forest fire inspectors and prevention specialists*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Much faster than average,"$40,000 to $59,999"
"* Lifeguards, ski patrol, and other recreational protective service workers*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
* Transportation security screeners*,High school diploma or equivalent,Short-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
* School bus monitors*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"Less than $30,000"
"* Protective service workers, all other*",High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
